type,id,lat,lon,name
14,N349563276,43.7255127,-93.4518807,Manchester Post Office
14,N349563291,43.929688,-95.9483523,Chandler Post Office
14,N349563309,44.0710732,-95.6655659,Currie Post Office
14,N349563325,43.7639986,-93.3299435,Clarks Grove Post Office
14,N349563347,43.670589,-93.5755394,Alden Post Office
14,N349563365,43.5016213,-93.4882675,Emmons Post Office
14,N349563378,43.6149554,-93.5282708,Conger Post Office
14,N349563393,43.5735549,-93.2810736,Glenville Post Office
14,N349563417,43.7666235,-93.5641078,Freeborn Post Office
14,N349563439,43.869963,-95.5988967,Fulda Post Office
14,N349563452,43.9966325,-95.9525192,Lake Wilson Post Office
14,N349563469,43.9882974,-95.7558464,Slayton Post Office
14,N349563488,43.8500148,-96.399681,Jasper Post Office
14,N349563516,43.9488524,-95.6455648,Avoca Post Office
14,N349563532,44.0527395,-95.550006,Dovray Post Office
14,N349563547,43.9166311,-95.7808471,Iona Post Office
14,N349563561,44.001076,-95.853905,Hadley Post Office
14,N349563576,43.957469,-96.1953064,Hatfield Post Office
14,N349563590,44.0096898,-96.1008584,Woodstock Post Office
14,N349563601,43.8891365,-96.2569758,Trosky Post Office
14,N349563615,44.176911,-96.1014179,Ruthton Post Office
14,N349563634,43.9083941,-96.3685618,Ihlen Post Office
14,N349563651,43.8741177,-96.1288764,Edgerton Post Office
14,N349563669,44.0913573,-96.1891975,Holland Post Office
14,N349563685,43.7760738,-92.4829507,Racine Post Office
14,N349563701,43.6035756,-92.8318541,Rose Creek Post Office
14,N349563715,43.5105209,-92.5037864,Le Roy Post Office
14,N349563740,43.703852,-92.5729541,Grand Meadow Post Office
14,N349563754,43.7452402,-92.9701918,Lansing Post Office
14,N349563767,43.7187946,-92.7042329,Dexter Post Office
14,N349563783,43.6627418,-92.7085153,Elkton Post Office
14,N349563795,43.8216296,-92.8771339,Waltham Post Office
14,N349563808,43.6653183,-92.9731352,Austin Post Office
14,N349563824,43.8052407,-92.8021304,Sargeant Post Office
14,N349563841,43.5582252,-92.6431322,Taopi Post Office
14,N349563853,43.8296881,-91.3029163,La Crescent Post Office
14,N349563865,43.759134,-91.3454151,Hokah Post Office
14,N349563880,43.6337768,-91.4966056,Caledonia Post Office
14,N349563893,43.7402404,-92.8693543,Brownsdale Post Office
14,N349563910,43.5651479,-92.7190194,Adams Post Office
14,N349563921,43.7621884,-91.569032000000007,Houston Post Office
14,N349563936,43.6941356,-91.2798571,Brownsville Post Office
14,N349564009,43.5083049,-91.4643061,Eitzen Post Office
14,N349564028,43.5602466,-91.6370898,Spring Grove Post Office
14,N349564049,43.507745,-91.8695993,Prosper Post Office
14,N349564064,43.6716889,-92.0803633,Preston Post Office
14,N349564096,43.5021881,-92.1387756,Granger Post Office
14,N349564110,43.9235691,-94.4366325,Lewisville Post Office
14,N349564129,43.8663451,-94.7427574,Odin Post Office
14,N349564148,44.0519022,-94.839151,Darfur Post Office
14,N349564158,44.0716258,-94.5694159,La Salle Post Office
14,N349564169,43.7399639,-92.1362717,Fountain Post Office
14,N349564179,43.6135754,-92.4279497,Ostrander Post Office
14,N349564196,44.0513493,-94.4171869,Madelia Post Office
14,N349564208,43.9824577,-94.6291404,Saint James Post Office
14,N349564220,43.7221863,-91.9762668,Lanesboro Post Office
14,N349564236,43.5205234,-91.7695949,Mabel Post Office
14,N349564252,43.5549656,-92.0096043,Harmony Post Office
14,N349564269,43.5321886,-91.9290459,Canton Post Office
14,N349564283,43.6893693,-92.3905591,Spring Valley Post Office
14,N349564296,43.7077419,-92.2684987,Wykoff Post Office
14,N349564312,43.7863061,-91.8347703,Peterson Post Office
14,N349564328,43.8060754,-91.7529257,Rushford Post Office
14,N349564342,43.9785735,-93.5021631,Otisco Post Office
