type,id,lat,lon,name,state,stateAbbr,stateFips
14,N349564096,43.5021881,-92.1387756,Granger Post Office,iowa,IA,19
14,N349564110,43.9235691,-94.4366325,Lewisville Post Office,minnesota,MN,27
14,N349564129,43.8663451,-94.7427574,Odin Post Office,minnesota,MN,27
14,N349564148,44.0519022,-94.839151,Darfur Post Office,minnesota,MN,27
14,N349564158,44.0716258,-94.5694159,La Salle Post Office,minnesota,MN,27
14,N349564169,43.7399639,-92.1362717,Fountain Post Office,minnesota,MN,27
14,N349564179,43.6135754,-92.4279497,Ostrander Post Office,minnesota,MN,27
14,N349564196,44.0513493,-94.4171869,Madelia Post Office,minnesota,MN,27
14,N349564208,43.9824577,-94.6291404,Saint James Post Office,minnesota,MN,27
14,N349564220,43.7221863,-91.9762668,Lanesboro Post Office,minnesota,MN,27
14,N349564236,43.5205234,-91.7695949,Mabel Post Office,minnesota,MN,27
14,N349564252,43.5549656,-92.0096043,Harmony Post Office,minnesota,MN,27
14,N349564269,43.5321886,-91.9290459,Canton Post Office,minnesota,MN,27
14,N349564283,43.6893693,-92.3905591,Spring Valley Post Office,minnesota,MN,27
14,N349564296,43.7077419,-92.2684987,Wykoff Post Office,minnesota,MN,27
14,N349564312,43.7863061,-91.8347703,Peterson Post Office,minnesota,MN,27
14,N349564328,43.8060754,-91.7529257,Rushford Post Office,minnesota,MN,27
14,N349564342,43.9785735,-93.5021631,Otisco Post Office,minnesota,MN,27
14,N349564358,44.0555127,-95.1961046,Jeffers Post Office,minnesota,MN,27
14,N349564372,43.9066239,-95.0463791,Bingham Post Office,minnesota,MN,27
14,N349564390,43.8650476,-95.1187236,Windom Post Office,minnesota,MN,27
14,N349564407,44.0416271,-95.4358351,Westbrook Post Office,minnesota,MN,27
14,N349564423,44.0388471,-95.3194416,Storden Post Office,minnesota,MN,27
14,N349564455,43.9863461,-95.0888797,Delft Post Office,minnesota,MN,27
14,N349564471,44.0751612,-93.3869915,Meriden Post Office,minnesota,MN,27
14,N349564488,44.1155224,-93.707171,Janesville Post Office,minnesota,MN,27
14,N349564504,43.8949604,-93.4935509,New Richland Post Office,minnesota,MN,27
14,N349564515,43.9352417,-93.6974466,Waldorf Post Office,minnesota,MN,27
14,N349564531,44.0781924,-93.505639,Waseco Post Office,minnesota,MN,27
14,N349564549,43.8882925,-94.1557925,Amboy Post Office,minnesota,MN,27
14,N349564563,44.0477414,-94.1644026,Garden City Post Office,minnesota,MN,27
14,N349564576,44.1633002,-93.8805086,Eagle Lake Post Office,minnesota,MN,27
14,N349564591,44.1055196,-94.2188494,Lake Crystal Post Office,minnesota,MN,27
14,N349564602,44.0046864,-94.0574549,Good Thunder Post Office,minnesota,MN,27
14,N349564664,43.9286265,-93.9549547,Mapleton Post Office,minnesota,MN,27
14,N349564673,44.2044116,-93.815508,Madison Lake Post Office,minnesota,MN,27
14,N349564684,44.1638553,-94.0046775,Mankato Post Office,minnesota,MN,27
14,N349564696,44.0813558,-93.855785,Saint Clair Post Office,minnesota,MN,27
14,N349564706,43.8730161,-93.3007657,Ellendale Post Office,minnesota,MN,27
14,N349564717,43.8645416,-93.0499331,Blooming Prairie Post Office,minnesota,MN,27
14,N349564730,44.1748847,-93.2460872,Medford Post Office,minnesota,MN,27
14,N349564741,43.9616285,-93.2765995,Hope Post Office,minnesota,MN,27
14,N349564753,43.9444073,-93.0971464,Bixby Post Office,minnesota,MN,27
14,N349564763,44.0844073,-93.2229884,Owatonna Post Office,minnesota,MN,27
14,N349564778,44.1516309,-92.8990876,West Concord Post Office,minnesota,MN,27
14,N349564791,44.0284163,-92.7472101,Kasson Post Office,minnesota,MN,27
14,N349564803,44.0278546,-92.8558185,Dodge Center Post Office,minnesota,MN,27
14,N349564818,43.8903388,-92.8481682,Hayfield Post Office,minnesota,MN,27
14,N349564830,44.0665306,-92.7563414,Mantorville Post Office,minnesota,MN,27
14,N349564848,44.0445663,-92.9988188,Claremont Post Office,minnesota,MN,27
14,N349564861,44.0085788,-93.7832826,Pemberton Post Office,minnesota,MN,27
14,N349564876,44.2085795,-96.3522619,Verdi Post Office,minnesota,MN,27
14,N349564891,44.2613568,-96.2869835,Lake Benton Post Office,minnesota,MN,27
14,N349564909,44.2796884,-96.1350328,Tyler Post Office,minnesota,MN,27
14,N349564921,44.3835765,-96.1836478,Arco Post Office,minnesota,MN,27
14,N349564938,44.4630205,-96.2486519,Ivanhoe Post Office,minnesota,MN,27
14,N349564967,44.0938521,-91.7507071,Minnesota City Post Office,minnesota,MN,27
14,N349564979,44.0977412,-91.8173762,Rollingstone Post Office,minnesota,MN,27
14,N349564994,43.9844072,-91.8590424,Lewiston Post Office,minnesota,MN,27
14,N349565012,43.9755184,-91.9548787,Utica Post Office,minnesota,MN,27
14,N349565054,44.0707966,-91.9393245,Altura Post Office,minnesota,MN,27
14,N349565077,44.0634764,-92.2679966,Viola Post Office,minnesota,MN,27
14,N349565101,43.9816301,-91.4845878,Pickwick Post Office,minnesota,MN,27
14,N349565121,44.0502408,-91.6384818,Winona Post Office,minnesota,MN,27
14,N349565140,43.9669284,-92.0645389,Saint Charles Post Office,minnesota,MN,27
14,N349565159,44.2925,-93.9647222,Kasota Post Office,minnesota,MN,27
14,N349565181,44.3133333,-93.5738889,Kilkenny Post Office,minnesota,MN,27
14,N349565201,44.2225,-94.8016667,Leavenworth Post Office,minnesota,MN,27
14,N349565225,44.1136111,-94.9077778,Comfrey Post Office,minnesota,MN,27
14,N349565322,44.1494444,-94.4947222,Hanska Post Office,minnesota,MN,27
14,N349565341,44.2390779,-94.9772532,Springfield Post Office,minnesota,MN,27
14,N349565361,44.2981396,-94.7225481,Sleepy Eye Post Office,minnesota,MN,27
14,N349565381,44.3134439,-94.4563249,New Ulm Post Office,minnesota,MN,27
